ResourceAppId,PermissionId,AccessType
00000003-0000-0000-c000-000000000000,d07a8cc0-3d51-4b77-b3b0-32704d1f69fa,Role
00000003-0000-0000-c000-000000000000,2f3e6f8c-093b-4c57-a58b-ba5ce494a169,Role
00000003-0000-0000-c000-000000000000,9a5d68dd-52b0-4cc2-bd40-abcf44ac3a30,Role
00000003-0000-0000-c000-000000000000,b0afded3-3588-46d8-8b3d-9842eff778da,Role
00000003-0000-0000-c000-000000000000,381f742f-e1f8-4309-b4ab-e3d91ae4c5c1,Role
00000003-0000-0000-c000-000000000000,cac88765-0581-4025-9725-5ebc13f729ee,Role
00000003-0000-0000-c000-000000000000,8b919d44-6192-4f3d-8a3b-f86f8069ae3c,Role
00000003-0000-0000-c000-000000000000,3b37c5a4-1226-493d-bec3-5d6c6b866f3f,Role
00000003-0000-0000-c000-000000000000,b185aa14-d8d2-42c1-a685-0f5596613624,Role
00000003-0000-0000-c000-000000000000,81b4724a-58aa-41c1-8a55-84ef97466587,Role
00000003-0000-0000-c000-000000000000,7438b122-aefc-4978-80ed-43db9fcc7715,Role
00000003-0000-0000-c000-000000000000,dc377aa6-52d8-4e23-b271-2a7ae04cedf3,Role
00000003-0000-0000-c000-000000000000,2f51be20-0bb4-4fed-bf7b-db946066c75e,Role
00000003-0000-0000-c000-000000000000,06a5fe6d-c49d-46a7-b082-56b1b14103c7,Role
00000003-0000-0000-c000-000000000000,dd9febb5-0c6d-419f-b256-3afe12c6adeb,Role
00000003-0000-0000-c000-000000000000,7ab1d382-f21e-4acd-a863-ba3e13f7da61,Role
00000003-0000-0000-c000-000000000000,ae73097b-cb2a-4447-b064-5d80f6093921,Role
00000003-0000-0000-c000-000000000000,dbb9058a-0e50-45d7-ae91-66909b5d4664,Role
00000003-0000-0000-c000-000000000000,c74fd47d-ed3c-45c3-9a9e-b8676de685d2,Role
00000003-0000-0000-c000-000000000000,1987d7a0-d602-4262-ab90-cfdd43b37545,Role
00000003-0000-0000-c000-000000000000,5b567255-7703-4780-807c-7be8301ae99b,Role
00000003-0000-0000-c000-000000000000,e321f0bb-e7f7-481e-bb28-e3b0b32d4bd0,Role
00000003-0000-0000-c000-000000000000,6e472fd1-ad78-48da-a0f0-97ab2c6b769e,Role
00000003-0000-0000-c000-000000000000,607c7344-0eed-41e5-823a-9695ebe1b7b0,Role
00000003-0000-0000-c000-000000000000,dc5007c0-2d7d-4c42-879c-2dab87571379,Role
00000003-0000-0000-c000-000000000000,1b0c317f-dd31-4305-9932-259a8b6e8099,Role
00000003-0000-0000-c000-000000000000,7c67316a-232a-4b84-be22-cea2c0906404,Role
00000003-0000-0000-c000-000000000000,4f994bc0-31bb-44bb-b480-7a7c1be8c02e,Role
00000003-0000-0000-c000-000000000000,246dd0d5-5bd0-4def-940b-0421030a5b68,Role
00000003-0000-0000-c000-000000000000,8e3bc81b-d2f3-4b7b-838c-32c88218d2f0,Role
00000003-0000-0000-c000-000000000000,37730810-e9ba-4e46-b07e-8ca78d182097,Role
00000003-0000-0000-c000-000000000000,bdba4817-6ba1-4a7c-8a01-be9bc7c242dd,Role
00000003-0000-0000-c000-000000000000,b21b72f6-4e6a-4533-9112-47eea9f97b28,Role
00000003-0000-0000-c000-000000000000,9e640839-a198-48fb-8b9a-013fd6f6cbcd,Role
00000003-0000-0000-c000-000000000000,4cdc2547-9148-4295-8d11-be0db1391d6b,Role
00000003-0000-0000-c000-000000000000,01e37dc9-c035-40bd-b438-b2879c4870a6,Role
00000003-0000-0000-c000-000000000000,5df6fe86-1be0-44eb-b916-7bd443a71236,Role
00000003-0000-0000-c000-000000000000,cd4161cb-f098-48f8-a884-1eda9a42434c,Role
00000003-0000-0000-c000-000000000000,edb419d6-7edc-42a3-9345-509bfdf5d87c,Role
00000003-0000-0000-c000-000000000000,230c1aed-a721-4c5d-9cb4-a90514e508ef,Role
00000003-0000-0000-c000-000000000000,d5fe8ce8-684c-4c83-a52c-46e882ce4be1,Role
00000003-0000-0000-c000-000000000000,ff278e11-4a33-4d0c-83d2-d01dc58929a5,Role
00000003-0000-0000-c000-000000000000,483bed4a-2ad3-4361-a73b-c83ccdbdc53c,Role
00000003-0000-0000-c000-000000000000,ef31918f-2d50-4755-8943-b8638c0a077e,Role
00000003-0000-0000-c000-000000000000,fdc4c997-9942-4479-bfcb-75a36d1138df,Role
00000003-0000-0000-c000-000000000000,5e0edab9-c148-49d0-b423-ac253e121825,Role
00000003-0000-0000-c000-000000000000,472e4a4d-bb4a-4026-98d1-0b0d74cb74a5,Role
00000003-0000-0000-c000-000000000000,bf394140-e372-4bf9-a898-299cfc7564e5,Role
00000003-0000-0000-c000-000000000000,45cc0394-e837-488b-a098-1918f48d186c,Role
00000003-0000-0000-c000-000000000000,df021288-bdef-4463-88db-98f22de89214,Role
00000003-0000-0000-c000-000000000000,97235f07-e226-4f63-ace3-39588e11d3a1,Role
00000003-0000-0000-c000-000000000000,38d9df27-64da-44fd-b7c5-a6fbac20248f,Role
00000003-0000-0000-c000-000000000000,72e00c1d-3e3d-43bb-a0b9-c435611bb1d2,Role
